year,agreement_variance,mean_agreement,median_agreement,min_agreement,max_agreement,agreement_range,n_pairs,n_cases,avg_direction,pct_5_4,pct_unanimous,dissent_rate
1970,0.24449914540667947,0.5744979919678702,1,0,1,1,4980,144,1.516474464579901,20.13888888888889,31.944444444444443,18.188976377952756
1971,0.23549672015434497,0.6206218024399839,1,0,1,1,5082,179,1.5876811594202898,11.650485436893204,41.48867313915858,17.34265734265734
1972,0.2373180440870194,0.6127778641380461,1,0,1,1,6433,186,1.5299744897959184,17.20430107526882,31.72043010752688,20.243902439024392
1973,0.23744658314001316,0.6122177954847305,1,0,1,1,6024,173,1.5109780439121756,17.341040462427745,34.68208092485549,19.268451992161985
1974,0.22678988277568737,0.6524918222051157,1,0,1,1,5197,154,1.5364741641337385,11.03896103896104,40.909090909090914,15.946348733233979
1975,0.23780811687720493,0.6106026592989171,1,0,1,1,5791,182,1.440767703507611,8.302583025830259,42.25092250922509,15.953307392996107
1976,0.23680768239862443,0.6150242326332735,1,0,1,1,6190,179,1.4375,13.966480446927374,38.547486033519554,16.339455351488283
1977,0.24326087559198234,0.5823791965845154,1,0,1,1,5153,155,1.5221374045801526,10.967741935483872,34.193548387096776,18.71737509321402
1978,0.2395976269892971,0.6022079116835304,1,0,1,1,5435,160,1.450109249817917,16.875,38.125,18.155825589706932
1979,0.2456556539413608,0.5662518301610513,1,0,1,1,5464,157,1.5247747747747749,17.197452229299362,26.751592356687897,21.02231821454284
1980,0.24405591781479014,0.5773979107312436,1,0,1,1,5265,153,1.4617834394904459,11.76470588235294,35.294117647058826,17.01337295690936
1981,0.24358757135645928,0.5803225806451574,1,0,1,1,6200,177,1.4587765957446808,18.64406779661017,35.02824858757062,19.159770846594526
1982,0.2373534459764357,0.6126355013550121,1,0,1,1,5904,166,1.477414871438499,18.67469879518072,37.95180722891566,18.114478114478114
1983,0.23241386908458642,0.6327580484566869,1,0,1,1,6026,173,1.4651320243737305,16.184971098265898,42.19653179190752,16.721097322011758
1984,0.22712016511127875,0.6513999629148882,1,0,1,1,5393,165,1.4787556904400607,10.909090909090908,41.81818181818181,15.53672316384181
1985,0.24602757446065907,0.5633632596685095,1,0,1,1,5792,165,1.470754052149401,22.424242424242426,32.121212121212125,19.986357435197817
1986,0.24742898291156862,0.5511313804595706,1,0,1,1,5701,161,1.5136103151862463,27.32919254658385,29.19254658385093,22.755741127348646
1987,0.23176450898324152,0.6352214650766668,1,0,1,1,4696,153,1.5094494658997535,9.333333333333334,42.81481481481482,16.57501963864886
1988,0.24268383629751855,0.5857999250655656,1,0,1,1,5338,152,1.4803392444101773,22.36842105263158,38.15789473684211,19.170984455958546
1989,0.24448933900053402,0.574561403508773,1,0,1,1,5016,140,1.5065040650406505,27.857142857142858,34.285714285714285,21.479713603818613
